Entry Time,Exit Time,Type,Entry Price,Exit Price,Points,Net PnL,Reason
2026-03-17 06:00:00+00:00,2026-03-17 06:20:00+00:00,BUY,23366.05,23410.45,44.4,2765.9,Target Hit
2026-03-17 07:15:00+00:00,2026-03-17 07:30:00+00:00,SELL,23484.35,23505.6,-21.25,-1501.25,Stop Loss Hit
2026-03-17 07:35:00+00:00,2026-03-17 07:45:00+00:00,SELL,23517.0,23554.5,-37.5,-2557.5,Stop Loss Hit
2026-03-18 09:50:00+00:00,2026-03-19 03:45:00+00:00,BUY,23751.25,23289.5,-461.75,-30133.75,Stop Loss Hit
2026-03-20 03:45:00+00:00,2026-03-20 04:00:00+00:00,SELL,23281.5,23313.8,-32.3,-2219.55,Stop Loss Hit
2026-03-20 06:30:00+00:00,2026-03-20 06:35:00+00:00,BUY,23228.95,23212.25,-16.7,-1205.45,Stop Loss Hit
2026-03-20 06:45:00+00:00,2026-03-20 06:50:00+00:00,BUY,23185.6,23155.05,-30.55,-2105.67,Stop Loss Hit
2026-03-20 06:55:00+00:00,2026-03-20 07:10:00+00:00,BUY,23155.15,23205.75,50.6,3168.97,Target Hit
2026-03-23 08:10:00+00:00,2026-03-23 08:15:00+00:00,SELL,22561.7,22598.95,-37.25,-2541.25,Stop Loss Hit
2026-03-23 08:20:00+00:00,2026-03-23 08:30:00+00:00,SELL,22601.35,22644.75,-43.4,-2941.03,Stop Loss Hit
2026-03-23 09:45:00+00:00,2026-03-24 03:45:00+00:00,BUY,22485.2,22785.15,299.95,19376.83,Target Hit
2026-03-24 09:05:00+00:00,2026-03-24 09:50:00+00:00,BUY,22895.95,22931.35,35.4,2181.03,Target Hit
2026-03-25 08:50:00+00:00,2026-03-25 09:10:00+00:00,BUY,23321.4,23357.35,35.95,2216.7,Target Hit
